"Time","run","random_seed","gamma0","gamma0d","gamma0t","gammaI","Density","GammaEp","Rate","Plasmid","G","Gd","Gr","Gt","N","Nd","Nr","Nt","RCh","RCv","RCt","WetLabRateCurve"
"465.0",1,4745,"0.20604763179020605","0.20604763179020605","0.0","0.3163646821972965","0.04513491414554374","1.0446941112467126E-11","0.18430667351715477","OriTR388","58.99588026810633","60.11482375109026","61.2062299301104","85.07893749367945","1.1007E7","496800.0","8573100.0","1937100.0","0.3975014196479273","0.6024985803520727","0.0","0.19638155000000002"
"475.0",1,4745,"0.20906172905005704","0.20906172905005704","0.0","0.3122424722662441","0.04582924435721295","1.0116686292176382E-11","0.18796106701074303","OriTR388","60.065988828271514","61.02935901671027","62.369915868480845","86.07143656175526","1.1209E7","513700.0","8685000.0","2010300.0","0.3920310401432622","0.6079689598567378","0.0","0.19205625000000015"
"-1.0",2,456111,"0.0","0.0","0.0","0.0","0.04888888888888889","0.0","0.0","OriTR388","0.0","31.04870440483542","0.0","0.0","45000.0","2200.0","42800.0","0.0","0.0","0.0","0.0","0.0019546068"
"5.0",2,456111,"0.0","0.0","0.0","0.0","0.04888888888888889","0.0","0.0","OriTR388","0.0","0.0","0.0","0.0","45000.0","2200.0","42800.0","0.0","0.0","0.0","0.0","5.641499999999998E-4"
"15.0",2,456111,"1.0","1.0","0.0","0.043478260869565216","0.04835164835164835","3.721151313558388E-10","0.0023094688221709007","OriTR388","0.0","0.0","0.0","0.0","45500.0","2200.0","43200.0","100.0","1.0","0.0","0.0","-0.00103795"
"25.0",2,456111,"1.0","1.0","0.0","0.038461538461538464","0.04604051565377532","1.7959313839677252E-10","0.0019305019305019305","OriTR388","92.85460001006346","0.0","91.76682733595743","0.0","54300.0","2500.0","51700.0","100.0","1.0","0.0","0.0","-0.0017812500000000003"
"35.0",2,456111,"0.3333333333333333","0.3333333333333333","0.0","0.024390243902439025","0.0471584038694075","1.3090338450280259E-10","0.0025380710659898475","OriTR388","40.12993448756181","44.39872681215722","40.10058560416955","0.0","82700.0","3900.0","78600.0","200.0","0.5","0.5","0.0","-0.0017065500000000005"
"45.0",2,456111,"0.16666666666666666","0.16666666666666666","0.0","0.020833333333333332","0.04893617021276596","8.0832308154664E-11","0.0022371364653243847","OriTR388","42.62491334066848","43.90678537713485","42.689846369166894","0.0","94000.0","4600.0","89200.0","200.0","0.5","0.5","0.0","-8.546499999999991E-4"
"55.0",2,456111,"0.16666666666666666","0.16666666666666666","0.0","0.016666666666666666","0.04875962360992301","7.040107630762034E-11","0.002697841726618705","OriTR388","40.19919530471972","41.285566051010136","40.25809363166225","0.0","116900.0","5700.0","110900.0","300.0","0.3333333333333333","0.6666666666666666","0.0","7.336500000000004E-4"
"65.0",2,456111,"0.15384615384615385","0.15384615384615385","0.0","0.023255813953488372","0.050530255770430445","5.7850082200151337E-11","0.0032851511169513796","OriTR388","35.700960069851","35.40694077377398","40.25809363166225","0.0","160300.0","8100.0","151700.0","500.0","0.4","0.6","0.0","0.003017550000000001"
"75.0",2,456111,"0.32","0.32","0.0","0.07476635514018691","0.04984423676012461","8.123011628526263E-11","0.006010928961748634","OriTR388","35.992552056996594","36.069956799436305","36.138330927635685","0.0","192600.0","9600.0","181900.0","1100.0","0.7272727272727273","0.2727272727272727","0.0","0.00595625"
"85.0",2,456111,"0.3888888888888889","0.3888888888888889","0.0","0.10144927536231885","0.04963937208315655","9.627835627699284E-11","0.009375","OriTR388","35.816840361156366","35.97409982307782","36.01344082608372","0.0","235700.0","11700.0","221900.0","2100.0","0.6666666666666666","0.3333333333333333","0.0","0.009508949999999999"
"95.0",2,456111,"0.43103448275862066","0.43103448275862066","0.0","0.12755102040816327","0.049967969250480464","9.96688490010553E-11","0.013486176668914362","OriTR388","34.22156583801017","34.232891258761605","34.462543068142814","0.0","312200.0","15600.0","292600.0","4000.0","0.625","0.375","0.0","0.013634850000000004"
"105.0",2,456111,"0.3983050847457627","0.3983050847457627","0.0","0.17803030303030304","0.05055455248903792","1.0229969769976737E-10","0.018473240967128497","OriTR388","34.01983361891696","33.84648116984692","34.32634456945018","0.0","387700.0","19600.0","361300.0","6800.0","0.6911764705882353","0.3088235294117647","0.0","0.018293150000000005"
"115.0",2,456111,"0.2743362831858407","0.2743362831858407","0.0","0.1781609195402299","0.050385175931709346","9.880629305143133E-11","0.02324051743038807","OriTR388","33.88941201904081","33.77992947827084","34.23527663355481","0.0","480300.0","24200.0","445500.0","10600.0","0.5849056603773585","0.41509433962264153","0.0","0.023443049999999997"
"125.0",2,456111,"0.19467213114754098","0.19467213114754098","0.0","0.19387755102040816","0.05065516139341643","9.107244720875163E-11","0.029119676822083825","OriTR388","33.13333128062846","32.97027994787246","34.23527663355481","0.0","625800.0","31700.0","576800.0","17300.0","0.5491329479768786","0.4508670520231214","0.0","0.029043749999999993"
"135.0",2,456111,"0.13793103448275862","0.13793103448275862","0.0","0.2018348623853211","0.050428772558556254","8.412529273347958E-11","0.03504515433346812","OriTR388","33.001706721843846","32.90327355588633","33.42474710278888","0.0","781300.0","39400.0","715900.0","26000.0","0.5076923076923077","0.49230769230769234","0.0","0.03505445"
"145.0",2,456111,"0.11327433628318584","0.11327433628318584","0.0","0.21476510067114093","0.05149688362113007","7.568355694999944E-11","0.04201228051276527","OriTR388","32.8534289767548","32.54172073779686","33.33509456255594","0.0","978700.0","50400.0","889300.0","39000.0","0.49230769230769234","0.5076923076923077","0.0","0.041434349999999995"
"155.0",2,456111,"0.0854930999663413","0.0854930999663413","0.0","0.20888157894736842","0.05158508344645852","6.544148471913226E-11","0.047991917150795656","OriTR388","32.51632493317188","32.21405094025772","33.02117879533091","0.0","1252300.0","64600.0","1130700.0","57000.0","0.4456140350877193","0.5543859649122806","0.0","0.04814265"
"165.0",2,456111,"0.07118370639241782","0.07118370639241782","0.0","0.21709717097170972","0.05114323928412203","5.8122688988534395E-11","0.05524231440461807","OriTR388","32.41039757042125","32.20543403912491","32.94866243393798","0.0","1570100.0","80300.0","1407500.0","82300.0","0.4289185905224787","0.5710814094775213","0.0","0.05513855000000001"
"175.0",2,456111,"0.05908178625188158","0.05908178625188158","0.0","0.21906976744186046","0.05210866752910737","5.059208574647654E-11","0.06239764166393711","OriTR388","32.4760095912055","32.12308866782002","32.94866243393798","0.0","1932500.0","100700.0","1717500.0","114300.0","0.4120734908136483","0.5879265091863517","0.0","0.06238125"
"185.0",2,456111,"0.05361087510620221","0.05361087510620221","0.0","0.23249815770081061","0.0530685761982164","4.527353103394234E-11","0.0698677800974252","OriTR388","32.899088780663895","32.40713976983726","32.94866243393798","102.50822589184763","2276300.0","120800.0","2004900.0","150600.0","0.41899070385126164","0.5810092961487384","0.0","0.06982994999999999"
