"tick","Population (D+R+T)","Population (R)","Population (D)","Population (T)"
333.0,"5797500.0","4027400.0","567000.0","1203100.0"
334.0,"5811800.0","4031500.0","568600.0","1211700.0"
335.0,"5825000.0","4041100.0","570600.0","1213300.0"
336.0,"5836900.0","4045000.0","573100.0","1218800.0"
337.0,"5848300.0","4052900.0","575300.0","1220100.0"
338.0,"5859500.0","4061000.0","576500.0","1222000.0"
339.0,"5868500.0","4065200.0","577900.0","1225400.0"
340.0,"5877000.0","4071900.0","578900.0","1226200.0"
341.0,"5884900.0","4076100.0","580100.0","1228700.0"
342.0,"5907000.0","4092500.0","583300.0","1231200.0"
343.0,"5924900.0","4097500.0","585600.0","1241800.0"
344.0,"5939000.0","4102200.0","587600.0","1249200.0"
345.0,"5956000.0","4114600.0","590700.0","1250700.0"
346.0,"5968100.0","4124400.0","592400.0","1251300.0"
347.0,"5980000.0","4131200.0","593400.0","1255400.0"
348.0,"5990500.0","4138900.0","595200.0","1256400.0"
349.0,"6000700.0","4144400.0","596600.0","1259700.0"
350.0,"6010800.0","4151600.0","598400.0","1260800.0"
351.0,"6018600.0","4157300.0","599500.0","1261800.0"
352.0,"6039000.0","4164800.0","602900.0","1271300.0"
353.0,"6055200.0","4171300.0","606100.0","1277800.0"
354.0,"6071400.0","4182500.0","609700.0","1279200.0"
355.0,"6086300.0","4193900.0","612500.0","1279900.0"
356.0,"6099000.0","4201300.0","614200.0","1283500.0"
357.0,"6113000.0","4212000.0","616600.0","1284400.0"
358.0,"6123200.0","4218500.0","617700.0","1287000.0"
359.0,"6132400.0","4225000.0","619300.0","1288100.0"
360.0,"6140900.0","4231200.0","620400.0","1289300.0"
361.0,"6149000.0","4235700.0","622000.0","1291300.0"
362.0,"6170100.0","4250600.0","626100.0","1293400.0"
363.0,"6186500.0","4254100.0","628200.0","1304200.0"
364.0,"6201600.0","4261200.0","629700.0","1310700.0"
365.0,"6214600.0","4271200.0","631100.0","1312300.0"
366.0,"6227100.0","4280500.0","633100.0","1313500.0"
367.0,"6240200.0","4287600.0","634900.0","1317700.0"
368.0,"6250300.0","4295300.0","636500.0","1318500.0"
369.0,"6259300.0","4301000.0","637300.0","1321000.0"
370.0,"6268300.0","4307100.0","639600.0","1321600.0"
371.0,"6277300.0","4313000.0","640200.0","1324100.0"
372.0,"6297300.0","4328400.0","643200.0","1325700.0"
373.0,"6314900.0","4334400.0","646000.0","1334500.0"
374.0,"6331900.0","4346000.0","649000.0","1336900.0"
375.0,"6344300.0","4351700.0","650700.0","1341900.0"
376.0,"6354600.0","4356500.0","652500.0","1345600.0"
377.0,"6368500.0","4366800.0","654600.0","1347100.0"
378.0,"6378900.0","4374400.0","656300.0","1348200.0"
379.0,"6389400.0","4379900.0","658700.0","1350800.0"
380.0,"6399300.0","4386700.0","660600.0","1352000.0"
381.0,"6416800.0","4393000.0","664100.0","1359700.0"
382.0,"6435000.0","4406100.0","667000.0","1361900.0"
383.0,"6450300.0","4417200.0","669400.0","1363700.0"
384.0,"6464900.0","4428400.0","671400.0","1365100.0"
385.0,"6479300.0","4436200.0","673900.0","1369200.0"
386.0,"6490000.0","4442300.0","675300.0","1372400.0"
387.0,"6501200.0","4449800.0","677200.0","1374200.0"
388.0,"6511000.0","4457300.0","678700.0","1375000.0"
389.0,"6519800.0","4462400.0","680300.0","1377100.0"
390.0,"6527600.0","4468200.0","681300.0","1378100.0"
391.0,"6536900.0","4468800.0","683100.0","1385000.0"
