"tick","run","random_seed","Sim (T/(R+T))","Exp (T/(R+T))"
443.0,1,1008711,"0.2271807046417804","0.20251491240000008"
445.0,1,1008711,"0.2270333018936371","0.20214135"
447.0,1,1008711,"0.22683022088498647","0.2017319636"
449.0,1,1008711,"0.22649455541934088","0.20128642679999997"
451.0,1,1008711,"0.22674426959833296","0.2008044132000001"
453.0,1,1008711,"0.22628447190754092","0.2002855964"
455.0,1,1008711,"0.22628038874796932","0.1997296500000001"
457.0,1,1008711,"0.22602681361131624","0.19913624760000004"
459.0,1,1008711,"0.22580371052258888","0.19850506280000002"
461.0,1,1008711,"0.22535827127059355","0.1978357692"
463.0,1,1008711,"0.22535211267605634","0.1971280404000001"
465.0,1,1008711,"0.22509478043116352","0.19638155000000002"
467.0,1,1008711,"0.22492956567826158","0.19559597160000008"
469.0,1,1008711,"0.2245672575599583","0.19477097880000005"
471.0,1,1008711,"0.22416300749380133","0.1939062452000001"
473.0,1,1008711,"0.22431362815262207","0.1930014444"
475.0,1,1008711,"0.22427632844929488","0.19205625000000015"
477.0,1,1008711,"0.22397402882033862","0.19107033559999997"
479.0,1,1008711,"0.22371187505119733","0.1900433748"
481.0,1,1008711,"0.22331114650115017","0.18897504119999986"
483.0,1,1008711,"0.22335871243937463","0.1878650084000001"
485.0,1,1008711,"0.22326322326322326","0.1867129500000001"
487.0,1,1008711,"0.2228513786146604","0.1855185396000002"
489.0,1,1008711,"0.22251723120658676","0.18428145080000002"
491.0,1,1008711,"0.22211832596412018","0.1830013572"
493.0,1,1008711,"0.22214835595856988","0.18167793240000008"
495.0,1,1008711,"0.22227814569536425","0.18031085000000013"
497.0,1,1008711,"0.2221474028889065","0.17889978360000014"
499.0,1,1008711,"0.2219647394962409","0.17744440679999995"
501.0,1,1008711,"0.22216532072746373","0.1759443932000001"
503.0,1,1008711,"0.22211628878905026","0.1743994164"
505.0,1,1008711,"0.2218073966151965","0.17280914999999997"
507.0,1,1008711,"0.22149364365596694","0.17117326760000018"
509.0,1,1008711,"0.22109423434593925","0.16949144279999995"
511.0,1,1008711,"0.22123484098303733","0.16776334920000002"
513.0,1,1008711,"0.221029054140535","0.16598866040000015"
515.0,1,1008711,"0.22114550925689805","0.1641670500000001"
517.0,1,1008711,"0.22101812915274477","0.16229819160000014"
519.0,1,1008711,"0.22079057392626378","0.16038175880000005"
521.0,1,1008711,"0.2211324570273003","0.15841742520000013"
523.0,1,1008711,"0.22086838432230563","0.15640486440000012"
525.0,1,1008711,"0.22088655146506386","0.1543437500000001"
527.0,1,1008711,"0.22077630413355126","0.15223375559999996"
529.0,1,1008711,"0.22060360270700638","0.15007455479999998"
531.0,1,1008711,"0.2203366736445727","0.14786582120000014"
533.0,1,1008711,"0.2203611265175325","0.14560722839999984"
535.0,1,1008711,"0.22050501454648122","0.14329845000000008"
537.0,1,1008711,"0.22053101676251072","0.14093915960000025"
539.0,1,1008711,"0.22046715862657804","0.13852903080000023"
