"tick","run","random_seed","Relative contribution of horizontal transfer","Relative contribution of vertical transfer","Relative contribution of transconjugants re-transfers"
222.0,1,1008711,"0.4259355509355509","0.5740644490644491","0.0"
223.0,1,1008711,"0.41928882067024814","0.5807111793297518","0.0"
224.0,1,1008711,"0.4238835430545275","0.5761164569454725","0.0"
225.0,1,1008711,"0.42548596112311016","0.5745140388768899","0.0"
226.0,1,1008711,"0.4247538677918425","0.5752461322081576","0.0"
227.0,1,1008711,"0.42012520287502897","0.579874797124971","0.0"
228.0,1,1008711,"0.41841385597082953","0.5815861440291704","0.0"
229.0,1,1008711,"0.4160107937935687","0.5839892062064314","0.0"
230.0,1,1008711,"0.4139915873367279","0.5860084126632721","0.0"
231.0,1,1008711,"0.4131197893813076","0.5868802106186924","0.0"
232.0,1,1008711,"0.42658647863956867","0.5734135213604313","0.0"
233.0,1,1008711,"0.4215163934426229","0.5784836065573771","0.0"
234.0,1,1008711,"0.42488170347003157","0.5751182965299685","0.0"
235.0,1,1008711,"0.4253358925143954","0.5746641074856046","0.0"
236.0,1,1008711,"0.42555994729907776","0.5744400527009222","0.0"
237.0,1,1008711,"0.4233900814211695","0.5766099185788305","0.0"
238.0,1,1008711,"0.42118721461187214","0.5788127853881279","0.0"
239.0,1,1008711,"0.42013326130019807","0.5798667386998019","0.0"
240.0,1,1008711,"0.41593866999465146","0.5840613300053485","0.0"
241.0,1,1008711,"0.4154879773691655","0.5845120226308345","0.0"
242.0,1,1008711,"0.42891237640640983","0.5710876235935902","0.0"
243.0,1,1008711,"0.4217937971500419","0.578206202849958","0.0"
244.0,1,1008711,"0.42384428223844284","0.5761557177615572","0.0"
245.0,1,1008711,"0.42478578229133607","0.5752142177086639","0.0"
246.0,1,1008711,"0.4246149058658783","0.5753850941341216","0.0"
247.0,1,1008711,"0.4231240428790199","0.57687595712098","0.0"
248.0,1,1008711,"0.42140266021765416","0.5785973397823458","0.0"
249.0,1,1008711,"0.42035928143712575","0.5796407185628742","0.0"
250.0,1,1008711,"0.4175938288087821","0.582406171191218","0.0"
251.0,1,1008711,"0.415314251991738","0.584685748008262","0.0"
252.0,1,1008711,"0.42231358094698046","0.5776864190530195","0.0"
253.0,1,1008711,"0.4178706690980502","0.5821293309019497","0.0"
254.0,1,1008711,"0.4208731241473397","0.5791268758526603","0.0"
255.0,1,1008711,"0.4224936250167763","0.5775063749832238","0.0"
256.0,1,1008711,"0.4222280956786045","0.5777719043213956","0.0"
257.0,1,1008711,"0.4211970726607423","0.5788029273392578","0.0"
258.0,1,1008711,"0.41864669421487605","0.581353305785124","0.0"
259.0,1,1008711,"0.41797925470610836","0.5820207452938917","0.0"
260.0,1,1008711,"0.41682576046837216","0.5831742395316278","0.0"
261.0,1,1008711,"0.41545097044272483","0.5845490295572752","0.0"
262.0,1,1008711,"0.4237536656891496","0.5762463343108505","0.0"
263.0,1,1008711,"0.41944847605224966","0.5805515239477503","0.0"
264.0,1,1008711,"0.42273914075480656","0.5772608592451934","0.0"
265.0,1,1008711,"0.4243097800655124","0.5756902199344875","0.0"
266.0,1,1008711,"0.42604780048493246","0.5739521995150676","0.0"
267.0,1,1008711,"0.4261637239165329","0.5738362760834671","0.0"
268.0,1,1008711,"0.4256287697735291","0.574371230226471","0.0"
269.0,1,1008711,"0.42459239130434784","0.5754076086956522","0.0"
270.0,1,1008711,"0.42359702501690333","0.5764029749830967","0.0"
271.0,1,1008711,"0.4224544841537424","0.5775455158462576","0.0"
272.0,1,1008711,"0.41835941835941837","0.5816405816405816","0.0"
273.0,1,1008711,"0.42568589328148626","0.5743141067185137","0.0"
274.0,1,1008711,"0.42294483794805754","0.5770551620519425","0.0"
275.0,1,1008711,"0.42654530059271806","0.573454699407282","0.0"
276.0,1,1008711,"0.42803307861404793","0.5719669213859521","0.0"
277.0,1,1008711,"0.42788861180382376","0.5721113881961762","0.0"
278.0,1,1008711,"0.42806945018602727","0.5719305498139727","0.0"
279.0,1,1008711,"0.42842441082638677","0.5715755891736133","0.0"
280.0,1,1008711,"0.42826376781868525","0.5717362321813148","0.0"
281.0,1,1008711,"0.4277373758066168","0.5722626241933831","0.0"
282.0,1,1008711,"0.4351069119840875","0.5648930880159125","0.0"
