"tick","run","random_seed","gamma0(N)","gamma0(D)","gamma0(T)"
242.0,1,510102448,"0.8088455772113943","0.8088455772113943","0.0"
243.0,1,510102448,"0.8190205819730305","0.8190205819730305","0.0"
244.0,1,510102448,"0.7834351663272233","0.7834351663272233","0.0"
245.0,1,510102448,"0.790956749672346","0.790956749672346","0.0"
246.0,1,510102448,"0.7949871465295629","0.7949871465295629","0.0"
247.0,1,510102448,"0.7972027972027972","0.7972027972027972","0.0"
248.0,1,510102448,"0.8","0.8","0.0"
249.0,1,510102448,"0.8008739076154806","0.8008739076154806","0.0"
250.0,1,510102448,"0.8019863438857853","0.8019863438857853","0.0"
251.0,1,510102448,"0.8029647930821495","0.8029647930821495","0.0"
252.0,1,510102448,"0.812793427230047","0.812793427230047","0.0"
253.0,1,510102448,"0.7829282080271339","0.7829282080271339","0.0"
254.0,1,510102448,"0.7899343544857768","0.7899343544857768","0.0"
255.0,1,510102448,"0.7941018766756032","0.7941018766756032","0.0"
256.0,1,510102448,"0.7967178401270514","0.7967178401270514","0.0"
257.0,1,510102448,"0.7982133473462953","0.7982133473462953","0.0"
258.0,1,510102448,"0.7992681651855724","0.7992681651855724","0.0"
259.0,1,510102448,"0.799791449426486","0.799791449426486","0.0"
260.0,1,510102448,"0.8002081165452654","0.8002081165452654","0.0"
261.0,1,510102448,"0.8007265179034769","0.8007265179034769","0.0"
262.0,1,510102448,"0.8078078078078078","0.8078078078078078","0.0"
263.0,1,510102448,"0.810930576070901","0.810930576070901","0.0"
264.0,1,510102448,"0.8014598540145985","0.8014598540145985","0.0"
265.0,1,510102448,"0.8037518037518038","0.8037518037518038","0.0"
266.0,1,510102448,"0.8051575931232091","0.8051575931232091","0.0"
267.0,1,510102448,"0.8064516129032258","0.8064516129032258","0.0"
268.0,1,510102448,"0.8070921985815603","0.8070921985815603","0.0"
269.0,1,510102448,"0.8073654390934845","0.8073654390934845","0.0"
270.0,1,510102448,"0.8077285579641847","0.8077285579641847","0.0"
271.0,1,510102448,"0.807909604519774","0.807909604519774","0.0"
272.0,1,510102448,"0.8080903104421449","0.8080903104421449","0.0"
273.0,1,510102448,"0.8159675236806495","0.8159675236806495","0.0"
274.0,1,510102448,"0.8007968127490039","0.8007968127490039","0.0"
275.0,1,510102448,"0.8044328552803129","0.8044328552803129","0.0"
276.0,1,510102448,"0.8072805139186295","0.8072805139186295","0.0"
277.0,1,510102448,"0.8091603053435115","0.8091603053435115","0.0"
278.0,1,510102448,"0.8100464330941326","0.8100464330941326","0.0"
279.0,1,510102448,"0.8049496644295302","0.8049496644295302","0.0"
280.0,1,510102448,"0.8057644110275689","0.8057644110275689","0.0"
281.0,1,510102448,"0.8064113238967527","0.8064113238967527","0.0"
282.0,1,510102448,"0.8067331670822943","0.8067331670822943","0.0"
283.0,1,510102448,"0.8128772635814889","0.8128772635814889","0.0"
284.0,1,510102448,"0.7974733517568101","0.7974733517568101","0.0"
285.0,1,510102448,"0.8003114052160374","0.8003114052160374","0.0"
286.0,1,510102448,"0.8023882896764253","0.8023882896764253","0.0"
287.0,1,510102448,"0.8036739380022963","0.8036739380022963","0.0"
288.0,1,510102448,"0.8050171037628279","0.8050171037628279","0.0"
289.0,1,510102448,"0.8059757942511346","0.8059757942511346","0.0"
290.0,1,510102448,"0.8067796610169492","0.8067796610169492","0.0"
291.0,1,510102448,"0.8074324324324325","0.8074324324324325","0.0"
292.0,1,510102448,"0.8139956490210297","0.8139956490210297","0.0"
293.0,1,510102448,"0.800071275837491","0.800071275837491","0.0"
294.0,1,510102448,"0.8041201117318436","0.8041201117318436","0.0"
295.0,1,510102448,"0.8063513979979289","0.8063513979979289","0.0"
296.0,1,510102448,"0.8075471698113208","0.8075471698113208","0.0"
297.0,1,510102448,"0.8085324232081911","0.8085324232081911","0.0"
298.0,1,510102448,"0.8092485549132948","0.8092485549132948","0.0"
299.0,1,510102448,"0.8099593495934959","0.8099593495934959","0.0"
300.0,1,510102448,"0.8107287449392713","0.8107287449392713","0.0"
301.0,1,510102448,"0.8090909090909091","0.8090909090909091","0.0"
302.0,1,510102448,"0.8094117647058824","0.8094117647058824","0.0"
303.0,1,510102448,"0.8140373893079699","0.8140373893079699","0.0"
304.0,1,510102448,"0.8014207297384566","0.8014207297384566","0.0"
305.0,1,510102448,"0.804327076041998","0.804327076041998","0.0"
306.0,1,510102448,"0.8059324708109814","0.8059324708109814","0.0"
307.0,1,510102448,"0.8070890840652447","0.8070890840652447","0.0"
308.0,1,510102448,"0.8081721771678103","0.8081721771678103","0.0"
309.0,1,510102448,"0.8090062111801242","0.8090062111801242","0.0"
310.0,1,510102448,"0.8093614383137012","0.8093614383137012","0.0"
311.0,1,510102448,"0.8094795539033457","0.8094795539033457","0.0"
312.0,1,510102448,"0.8129562043795621","0.8129562043795621","0.0"
313.0,1,510102448,"0.8031850961538461","0.8031850961538461","0.0"
314.0,1,510102448,"0.8054070112893642","0.8054070112893642","0.0"
315.0,1,510102448,"0.806955496610669","0.806955496610669","0.0"
316.0,1,510102448,"0.8079178885630498","0.8079178885630498","0.0"
